programme;transaction;tp
PBGPSV33;GP33;modifierEGDefautPourDomaine
PBGPSV34;GP34;restituerHistoEGDefautPourDomaine
PBGPSV35;GP35;consulterPortefeuilles
PBGPSV36;GP36;rechercherPortefeuille
PBGPSV40;GP40;restituerValorisationItem
PBGPSV45;GP45;supprimerPortefeuille
PBGPSV46;GP46;controlerImpactModificationCritere
PBGPSV47;GP47;forcerPortefeuille
PBGPSV52;GP52;controlerValorisationRegle
PBGPSV53;GP53;dupliquerValoRegle
PBGPSV56;GP56;controlerPortefeuilles
PBGPSV58;GP58;rechercherPortefeuillesMultiCriteres
PBGSSV29;GS29;existenceUtilisateur
PBGSSV30;GS30;listerUtilisateurs
PBGSSV31;GS31;recupererInformationsListeUtilisateur
PBGSSV32;GS32;recupererInformationsUtilisateur
PBGSSV33;GS33;recupererInformationsUtilisateurConnecte
PBGSSV34;GS34;recupererInformationsUtilisateur
PBGSSV34;GS34;recupererInformationsUtilisateur
PBGSSV34;GS34;recupererInformationsUtilisateur
PBGSSV35;GS35;listerUtilisateurs
PBGSSV36;SB48;recupererInformationsListeUtilisateur
PBGSSV38;GS38;listerUtilisateurs
PBGSSV39;GS39;creerUtilisateur
PBGSSV40;GS40;fermerUtilisateur
PBGSSV41;GS41;modifierUtilisateur
PBGSSV42;GS42;reactiverUtilisateur
PBGSSV43;GS43;supprimerUtilisateur
PBGSSV44;GS44;suspendreUtilisateur
PBGSSV45;GS45;recupererUtilisateurParLogin/webServiceConsulterUtilisateur
PBGSSV46;SB78;recupererInformationsUtilisateurParLoginDateEffet
PBGSSV47;#N/A;importerUtilisateur
PBGSSV49;GS49;webServiceCreerUtilisateur
PBGSSV50;GS50;webServiceFermerUtilisateur
PBGSSV51;GS51;webServiceModifierUtilisateur
PBGSSV52;GS52;webServiceReactiverUtilisateur
PBGSSV54;GS54;webServiceSuspendreUtilisateur
PBGSSV55;GS55;lireHistoriqueLienUtilisateurEntiteGestion
PBGTSV01;GT01;creerTache
PBGTSV02;GT02;modifierTache
PBGTSV06;GT06;restituerDetailsTache
PBGTSV17;GT17;reaffecterTache
PBGTSV18;GT18;compterTaches
PBGTSV19;GT19;rechercherTaches
PBGTSV20;GT20;compterTachesIA
PBGTSV22;GT22;rechercherTachesNonTraitees
PBGTSV24;GT24;listerTaches
PBGTSV27;GT27;rechercherEtReaffecterTachesPourDemandeTravail
PBPASV01;PA01;fermerFonction
PBPASV02;PA02;sauvegarderLancementFonction
PBPASV05;PA05;restituerProprietesEtParametresFonction
PBPASV06;PA06;restituerArborescenceFonctionsUR
PBPASV10;PA10;verifierValiditeCodeExpert
PBPASV11;PA11;creerContexteInterFonction
PBPASV13;PA13;restituerHistoriqueContextesInterFonction
PBPASV14;PA14;supprimerHistoriqueContextesInterFonction
PBPASV15;PA15;purgerHistoriqueLancements
PBPASV16;PA16;restituerHistoriqueLancementsFonctions
PBPASV17;PA17;supprimerHistoriqueLancementsFonctions
PBPASV18;PA18;mettreAJourDateCreationContexte
PBPASV19;PA19;restituerConsignesEntiteGestion
PBPASV20;PA20;restituerConsignesResponsableEG
PBPASV21;PA21;creerConsigne
PBPASV22;PA22;mettreAJourConsigne
PBPASV23;PA23;supprimerConsignes
PBPASV27;PA27;restituerArborescenceFonctionsURProprietesTechniquesEtParametres
PBPASV29;PA29;creerFavoriFonction
PBPASV30;PA30;restituerFavorisFonctions
PBPASV31;PA31;sauvegarderFavorisFonctions
PBPASV32;SB49;supprimerFavorisFonctions
PBPASV33;PA33;creerFavoriContexteInterFonction
PBPASV34;PA34;restituerFavorisContextesInterFonction
PBPASV35;SB50;supprimerFavorisContextesInterFonction
PBPASV36;PA36;sauvegarderFavorisContextesInterFonction
PBPASV40;PA40;sauvegarderListeFonctionsLancees
PBPASV41;PA41;sauvegarderListeContextesInterFonctions
PBPASV42;PA42;mettreAJourDateCreationListeContextes
PBPASV43;PA43;compterTachesIA
PBPASV45;PA45;purgerHistoriqueContextesInterFonction
PCADMT01;G203;gestionDeclarationRechercherHistoriqueInformationsDeclaration
PCADMT08;G224;rechercheDecompte
PCADMT09;G225;validationDecompte
PCADMT10;G247;marquageNpai
PCADMT11;G253;updateUserRecyclages
PCADMT12;G352;rechercherDemandeAppelALaDemandeNonTraitee
PCADMT13;G353;supprimerDemandeAppelALaDemandeNonTraitee
PCADMT14;G354;rechercherPopulationSousCompte
PCADMT15;G355;creerAppelALaDemande
PCADMT16;G359;gestionDeclarationCalculerInformationsInstitution
PCADMT17;G401;gestionDeclarationEnregistrerDAJANT
PCADMT18;G402;gestionDeclarationRechercherDAJANT
PCADMT19;G417;annulerDocument
PCBTMT01;G599;informationsHabilitationBST
PCBTMT02;G598;transcodageOgBST
PCFDMT01;G382;rechercheAnomalieIntegration
PCFDMT02;G383;relanceAnomalieIntegration
PCFDMT03;G375;validationModificationFluxDematerrialisee
PCFDMT05;G376;exportFluxDematerrialisee
PCFDMT06;G378;validationFluxDematerrialisee
PCFDMT07;G379;affichageFluxDematerrialisee
PCFDMT08;G377;visualisationFluxDematerrialisee
PCFDMT09;G395;gestionInscriptionRecherche
PCFDMT10;G396;gestionInscriptionRechercheUEComptesSiretInstitution
PCFDMT11;G397;gestionInscriptionRechercheListeUEComptes
PCFDMT13;G403;rechercheInstitutionGroupe
PCFDMT14;G404;validerRelanceInscription
PCFDMT15;G405;validerReponse
PCFDMT16;G406;validerSelectionUE
PCFDMT17;G419;d�matAbandonner
PCFDMT18;G420;d�matReactiver
PCFIMT01;G213;visualisationCompteUEInformationCompteUE
PCFIMT02;G214;visualisationSousCompteRecherche
PCFIMT07;G228;rechercheCompteBancaire
PCFIMT08;G216;recherchePaiementsEnAttenteIdentification
PCFIMT0B;G344;repartitionFondsCompteTiersCreationPoursuiteSchemaRepartition
PCFIMT0C;G345;enregistrementSchemaRepartition
PCFIMT0D;G346;recherchePaiementNonIdentifieAvecId
PCFIMT0E;G347;repartitionFondsCompteTiersAjoutUESchemaRepartition
PCFIMT0F;G348;repartitionFondsCompteTiersSuppressionLigneRepartitionAttente
PCFIMT0G;G364;validationDebitParticulier
PCFIMT0H;G357;creationLigneFinancierValider
PCFIMT0I;G356;creationLigneFinancierEnregistrer
PCFIMT0J;G365;annulationDebitParticulier
PCFIMT0K;G358;bandeauCompte
PCFIMT0L;G351;suppressionUEComptePaiement
PCFIMT0M;G361;visualisationFluxCompteMandataireOuParticulier
PCFIMT0N;G362;visualisationSoldeCompteMandataireOuParticulier
PCFIMT0O;G367;rechercherLigneFinanciereJournalAdherent
PCFIMT0P;G368;rechercheListePeriode
PCFIMT0S;G390;visualisationCompteUEEnregistrerGroupeCompte
PCFIMT0T;G391;rechercheListeSocietesEncaissementRemboursement
PCFIMT0U;G399;ConfirmationModeRemboursement
PCFIMT0V;G400;visualisationFinanciereSCSuppression
PCFIMT0X;G393;repartitionFondsCompteTiersRechercheSchemaRepartition
PCFIMT0Y;G394;repartitionFondsCompteTiersVisualisationSchemaRepartitionDetail
PCFIMT0Z;G409;remboursementRetrocessionRechercherTiers
